Id,URI,Language,Name,Source_Url,Street1,City,StateTer,Zip,Phone/0,CFO_Agency,Fed_Branch,Contact_Url/0/Url,Contact_Url/0/Description,Contact_Url/0/Language,Contact_Url/1/Url,Contact_Url/1/Description,Contact_Url/1/Language,Contact_Url/2/Url,Contact_Url/2/Description,Contact_Url/2/Language,Contact_Url/3/Url,Contact_Url/3/Description,Contact_Url/3/Language,Contact_Url/4/Url,Contact_Url/4/Description,Contact_Url/4/Language,Contact_Url/5/Url,Contact_Url/5/Description,Contact_Url/5/Language,Contact_Url/6/Url,Contact_Url/6/Description,Contact_Url/6/Language,Web_Url/0/Url,Web_Url/0/Description,Web_Url/0/Language,In_Person_Url/0/Url,In_Person_Url/0/Description,In_Person_Url/0/Language,In_Person_Url/1/Url,In_Person_Url/1/Description,In_Person_Url/1/Language,In_Person_Url/2/Url,In_Person_Url/2/Description,In_Person_Url/2/Language,Description,Parent/Id,Parent/URI,Parent/Name,Child/0/Id,Child/0/URI,Child/0/Name,Child/1/Id,Child/1/URI,Child/1/Name,Child/2/Id,Child/2/URI,Child/2/Name,Alt_Language/0/Id,Alt_Language/0/URI,Alt_Language/0/Name,Alt_Language/0/Language,Tollfree/0,Email
48020,null/api/USAGovAPI/contacts.json/contact/48020,en,Consumer Center,http://www.usa.gov/directory/federal/consumer-center.shtml,"445 12th St.., SW",Washington,DC,20554,,,,,,,,,,,,,,,,,,,,,,,,,http://www.fcc.gov/cgb/,Consumer Center,en,,,,,,,,,,"FCC accepts public inquiries, informal complaints, and questions regarding cable, radio, satellite, telephone, television and wireless services.",49041,null/api/USAGovAPI/contacts.json/contact/49041,Federal Communications Commission (FCC),,,,,,,,,,,,,,1-888-225-5322,fccinfo@fcc.gov
48023,null/api/USAGovAPI/contacts.json/contact/48023,en,Customer Contact Center,http://www.usa.gov/directory/federal/customer-contact-center.shtml,PO Box 151750,Alexandria,VA,22315-1750,,,,http://www.pbgc.gov/about/contact.html,Contact the Customer Contact Center,en,,,,,,,,,,,,,,,,,,,http://www.pbgc.gov/,Customer Contact Center,en,,,,,,,,,,"The PBGC protects the retirement incomes of workers in private sector defined pension benefit plans. When you call, it helps to have your social security number and your plans name or number.",49052,null/api/USAGovAPI/contacts.json/contact/49052,Pension Benefit Guaranty Corporation (PBGC),,,,,,,,,,,,,,1-800-400-7242,mypension@pbgc.gov
48027,null/api/USAGovAPI/contacts.json/contact/48027,en,Department of Veterans Affairs (VA),http://www.usa.gov/directory/federal/department-of-veterans-affairs.shtml,"810 Vermont Avenue, NW",Washington,DC,20420,,Yes,EXEC,https://iris.custhelp.com/,Contact the Department of Veterans Affairs (VA),en,,,,,,,,,,,,,,,,,,,http://www.va.gov/,Department of Veterans Affairs (VA),en,http://www2.va.gov/directory/guide/home.asp?isflash=1,Find Facilities and Services Near You,en,,,,,,,"For information about VA medical care or benefits, write, call or visit your nearest VA facility.",49743,null/api/USAGovAPI/contacts.json/contact/49743,White House,48074,null/api/USAGovAPI/contacts.json/contact/48074,National Cemetery Administration,48156,null/api/USAGovAPI/contacts.json/contact/48156,Veterans Benefits Administration,49736,null/api/USAGovAPI/contacts.json/contact/49736,Veterans Day National Committee,50086,null/api/USAGovAPI/contacts.json/contact/50086,Departamento de Asuntos de los Veteranos,es,1-800-827-1000,
48028,null/api/USAGovAPI/contacts.json/contact/48028,en,Eldercare Locator,http://www.usa.gov/directory/federal/eldercare-locator.shtml,,,AK,,,No,EXEC,,,,,,,,,,,,,,,,,,,,,,http://www.eldercare.gov/,Eldercare Locator,en,,,,,,,,,,The Eldercare Locator is the first step to finding resources for older adults in any U.S. community. It is a free national service of the Administration on Aging that provides an instant connection to resources that enable older persons to live independently in their communities and offers support for caregivers. The Eldercare Locator is administered by The National Association of Area Agencies on Aging (n4a).,49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),,,,,,,,,,50197,null/api/USAGovAPI/contacts.json/contact/50197,Localizador de Cuidados de Personas Mayores,es,"1-800-677-1116 (M-F, 9 am-8pm ET)",eldercarelocator@n4a.org
48029,null/api/USAGovAPI/contacts.json/contact/48029,en,Employee Benefits Security Administration (EBSA),http://www.usa.gov/directory/federal/employee-benefits-security-administration.shtml,"Department of Labor, Room N5623",Washington,DC,20210,,No,EXEC,http://www.dol.gov/dol/contact/,Contact the Employee Benefits Security Administration (EBSA) Contact the Department of Labor (DOL),en,,,,,,,,,,,,,,,,,,,http://www.dol.gov/ebsa/,Employee Benefits Security Administration (EBSA),en,http://www.dol.gov/ebsa/aboutebsa/org_chart.html#section13,Regional Offices,en,,,,,,,"The EBSA provides information and assistance on private sector, employer-sponsored retirement benefit and health benefit plans.",49028,null/api/USAGovAPI/contacts.json/contact/49028,Department of Labor (DOL),,,,,,,,,,50046,null/api/USAGovAPI/contacts.json/contact/50046,Administración de Seguridad de Beneficios de los Empleados,es,1-866-444-EBSA (1-866-444-3272),
48030,null/api/USAGovAPI/contacts.json/contact/48030,en,Energy Efficiency and Renewable Energy (EERE),http://www.usa.gov/directory/federal/energy-efficiency-and-renewable-energy.shtml,Mail Stop EE-1,Washington,DC,20585,1-202-586-9220,No,EXEC,http://energy.gov/eere/about-us/office-energy-efficiency-and-renewable-energy-contacts,Contact the Energy Efficiency and Renewable Energy (EERE) Contact the EERE,en,,,,,,,,,,,,,,,,,,,http://www.energysavers.gov/,Energy Efficiency and Renewable Energy (EERE),en,,,,,,,,,,"The EERE Information Center answers questions about EEREs products, services, and technology programs, and refers callers to the most appropriate EERE resources.",49019,null/api/USAGovAPI/contacts.json/contact/49019,Department of Energy (DOE),,,,,,,,,,50100,null/api/USAGovAPI/contacts.json/contact/50100,Oficina de Eficiencia Energética y Energía Renovable,es,1-877-337-3463,eereic@ee.doe.gov
48031,null/api/USAGovAPI/contacts.json/contact/48031,en,Energy Star Program,http://www.usa.gov/directory/federal/energy-star-program.shtml,"1200 Pennsylvania Ave., NW",Washington,DC,20460,703-412-3086,,,,,,,,,,,,,,,,,,,,,,,,http://www.energystar.gov,Energy Star Program,en,,,,,,,,,,The ENERGY STAR label is awarded to products for the home and office that are highly energy-efficient. The program encourages the use of energy efficient products that both protect the environment and save consumers money.,49039,null/api/USAGovAPI/contacts.json/contact/49039,Environmental Protection Agency (EPA),,,,,,,,,,50171,null/api/USAGovAPI/contacts.json/contact/50171,Programa ENERGY STAR,es,1-888-782-7937,hotline@energystar.gov
48032,null/api/USAGovAPI/contacts.json/contact/48032,en,Equal Employment Opportunity Commission (EEOC),http://www.usa.gov/directory/federal/equal-employment-opportunity-commission.shtml,"131 M Street, NE",Washington,DC,20507,1-202-663-4900,No,EXEC,http://www.eeoc.gov/contact/,Contact the Equal Employment Opportunity Commission (EEOC),en,,,,,,,,,,,,,,,,,,,http://www.eeoc.gov/,Equal Employment Opportunity Commission (EEOC),en,,,,,,,,,,"The EEOC enforces laws that make discrimination illegal in the workplace. The commission oversees all types of work situations including hiring, firing, promotions, harassment, training, wages, and benefits.",,,,,,,,,,,,,50099,null/api/USAGovAPI/contacts.json/contact/50099,Comisión para la Igualdad de Oportunidades en el Empleo,es,1-800-669-4000,info@eeoc.gov
48033,null/api/USAGovAPI/contacts.json/contact/48033,en,Federal Aviation Administration (FAA),http://www.usa.gov/directory/federal/federal-aviation-administration.shtml,"800 Independence Avenue, SW",Washington,DC,20591,1-202-366-4000,No,EXEC,http://www.faa.gov/contact/,Contact the Federal Aviation Administration (FAA),en,https://directory.faa.gov/,Telephone Directory,en,,,,,,,,,,,,,,,,http://www.faa.gov/,Federal Aviation Administration (FAA),en,,,,,,,,,,The FAA works to ensure that all air travel is safe.,49035,null/api/USAGovAPI/contacts.json/contact/49035,Department of Transportation (DOT),,,,,,,,,,50044,null/api/USAGovAPI/contacts.json/contact/50044,Administración Federal de Aviación,es,1-866-TELL-FAA (1-866-835-5322),
48042,null/api/USAGovAPI/contacts.json/contact/48042,en,Federal Emergency Management Agency (FEMA),http://www.usa.gov/directory/federal/federal-emergency-management-agency.shtml,"500 C Street, SW",Washington,DC,20472,1-202-646-2500,No,EXEC,http://www.fema.gov/contact-us,Contact the Federal Emergency Management Agency (FEMA),en,http://www.fema.gov/assistance/index.shtm,Apply for Disaster Assistance,en,,,,,,,,,,,,,,,,http://www.fema.gov/,Federal Emergency Management Agency (FEMA),en,,,,,,,,,,"FEMA supports citizens and emergency personnel to build, sustain, and improve the nations capability to prepare for, protect against, respond to, recover from, and mitigate all hazards.",49022,null/api/USAGovAPI/contacts.json/contact/49022,Department of Homeland Security (DHS),48078,null/api/USAGovAPI/contacts.json/contact/48078,National Flood Insurance Program (NFIP),,,,,,,50098,null/api/USAGovAPI/contacts.json/contact/50098,Agencia Federal para el Manejo de Emergencias (FEMA),es,1-800-621-3362,
48044,null/api/USAGovAPI/contacts.json/contact/48044,en,Federal Housing Administration (FHA),http://www.usa.gov/directory/federal/federal-housing-administration.shtml,"451 7th Street, SW",Washington,DC,20410,,No,EXEC,,,,,,,,,,,,,,,,,,,,,,http://portal.hud.gov/hudportal/HUD?src=/federal_housing_administration,Federal Housing Administration (FHA),en,,,,,,,,,,"FHA provides mortgage insurance on single-family, multifamily, manufactured home, and hospital loans made by FHA-approved lenders throughout the United States and its territories.",49023,null/api/USAGovAPI/contacts.json/contact/49023,Department of Housing and Urban Development (HUD),,,,,,,,,,,,,,1-800-CALL-FHA (1-800-225-5342),info@fhaoutreach.com
48048,null/api/USAGovAPI/contacts.json/contact/48048,en,Federal Reserve Consumer Help,http://www.usa.gov/directory/federal/federal-reserve-consumer-help.shtml,PO Box 1200,Minneapolis,MN,55480,,,,,,,,,,,,,,,,,,,,,,,,,http://www.federalreserveconsumerhelp.gov/,Federal Reserve Consumer Help File a Complaint About a Bank,en,,,,,,,,,,This division receives and tracks consumer complaints and questions regarding practices by banks and other financial institutions supervised by the Board of Governors of the Federal Reserve System.,49046,null/api/USAGovAPI/contacts.json/contact/49046,Federal Reserve System,,,,,,,,,,,,,,"1-888-851-1920 (8:00 am - 6:00 pm, CT)",consumerhelp@federalreserve.gov
48055,null/api/USAGovAPI/contacts.json/contact/48055,en,FEMA Disaster Assistance,http://www.usa.gov/directory/federal/fema-disaster-assistance.shtml,PO Box 10055,Hyattsville,MD,20782-8055,,,,,,,,,,,,,,,,,,,,,,,,,http://www.fema.gov/assistance,FEMA Disaster Assistance,en,,,,,,,,,,,49022,null/api/USAGovAPI/contacts.json/contact/49022,Department of Homeland Security (DHS),,,,,,,,,,,,,,1-800-621-3362,
48057,null/api/USAGovAPI/contacts.json/contact/48057,en,Fish and Wildlife Service (FWS),http://www.usa.gov/directory/federal/fish-and-wildlife-service.shtml,"1849 C Street, NW",Washington,DC,20240,1-202-208-5634 (Public Affairs routes all calls from here),No,EXEC,http://www.fws.gov/duspit/contactus.htm,Contact the Fish and Wildlife Service (FWS),en,http://www.fws.gov/offices/,Fish and Wildlife Service Office Directory,en,,,,,,,,,,,,,,,,http://www.fws.gov/,Fish and Wildlife Service (FWS),en,http://www.fws.gov/info/pocketguide/regionalcontactsfieldlocations.html,FWS Regional Contacts and State Field Offices,en,http://www.fws.gov/refuges/refugeLocatorMaps/,National Wildlife Refuge Locator,en,,,,"The Fish and Wildlife Service works to conserve, protect and enhance fish, wildlife and plants and their habitats.",49033,null/api/USAGovAPI/contacts.json/contact/49033,Department of the Interior (DOI),49250,null/api/USAGovAPI/contacts.json/contact/49250,Endangered Species Program,49457,null/api/USAGovAPI/contacts.json/contact/49457,Migratory Bird Conservation Commission,,,,50137,null/api/USAGovAPI/contacts.json/contact/50137,Servicio Federal de Pesca y Vida Silvestre,es,1-800-344-9453,
48058,null/api/USAGovAPI/contacts.json/contact/48058,en,Food and Drug Administration (FDA),http://www.usa.gov/directory/federal/food-and-drug-administration.shtml,10903 New Hampshire Avenue,Silver Spring,MD,20993,,No,EXEC,http://www.fda.gov/AboutFDA/ContactFDA/default.htm,Contact the Food and Drug Administration (FDA),en,http://www.fda.gov/Safety/ReportaProblem/,Report a Problem with a Product,en,,,,,,,,,,,,,,,,http://www.fda.gov/,Food and Drug Administration (FDA),en,,,,,,,,,,"The FDA is responsible for protecting the public health by assuring the safety, efficacy, and security of human and veterinary drugs, biological products, medical devices, our nations food supply, cosmetics, and products that emit radiation. The FDA also provides accurate, science-based health information to the public.",49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),52678,null/api/USAGovAPI/contacts.json/contact/52678,Center for Food Safety and Applied Nutrition,,,,,,,50095,null/api/USAGovAPI/contacts.json/contact/50095,Administración de Alimentos y Medicamentos,es,1-888-INFO-FDA (1-888-463-6332),
48059,null/api/USAGovAPI/contacts.json/contact/48059,en,Food and Nutrition Service,http://www.usa.gov/directory/federal/food-and-nutrition-service.shtml,3101 Park Center Dr.,Alexandria,VA,22302,(703) 305-2281,,,http://www.fns.usda.gov/contact-us,Contact the Food and Nutrition Service,en,http://www.fns.usda.gov/snap/contact_info/default.htm,Food Stamps,en,http://www.fns.usda.gov/cnd/Contacts/StateDirectory.htm,Child Nutrition Programs,en,,,,,,,,,,,,,http://www.fns.usda.gov,Food and Nutrition Service,en,,,,,,,,,,"The Food and Nutrition Service provides children and low-income people access to food, a healthful diet, and nutrition education.",49015,null/api/USAGovAPI/contacts.json/contact/49015,U.S. Department of Agriculture (USDA),,,,,,,,,,48059,null/api/USAGovAPI/contacts.json/contact/48059,Food and Nutrition Service,en,,
48061,null/api/USAGovAPI/contacts.json/contact/48061,en,General Information Line,http://www.usa.gov/directory/federal/general-information-line.shtml,"1400 Independence Ave., SW",Washington,DC,20250,202-720-2791,,,,,,,,,,,,,,,,,,,,,,,,http://www.usda.gov/wps/portal/usda/usdahome,General Information Line,en,,,,,,,,,,This automated information line provides answers regarding USDA programs and activities.,49015,null/api/USAGovAPI/contacts.json/contact/49015,U.S. Department of Agriculture (USDA),,,,,,,,,,,,,,,
48062,null/api/USAGovAPI/contacts.json/contact/48062,en,HHS-TIPS Fraud Hotline,http://www.usa.gov/directory/federal/hhs-tips-fraud-hotline.shtml,Attn: HOTLINE,Washington,DC,20026,,No,EXEC,,,,,,,,,,,,,,,,,,,,,,http://www.oig.hhs.gov,HHS-TIPS Fraud Hotline,en,,,,,,,,,,"The mission of the Office of Inspector General (OIG) is to protect the integrity of HHS programs, as well as the health and welfare of the beneficiaries of those programs.",49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),,,,,,,,,,50214,null/api/USAGovAPI/contacts.json/contact/50214,Línea de Fraude de HHS,es,1-800-447-8477,
48068,null/api/USAGovAPI/contacts.json/contact/48068,en,Internal Revenue Service (IRS),http://www.usa.gov/directory/federal/internal-revenue-service.shtml,"1111 Constitution Avenue, NW",Washington,DC,20224,1-202-283-1710,No,EXEC,http://www.irs.gov/contact/index.html,Contact the Internal Revenue Service (IRS),en,https://sa2.www4.irs.gov/irfof/lang/en/irfofgetstatus.jsp,Tax Refund Status,en,http://www.irs.gov/Help-&-Resources,Help With Tax Questions,en,http://www.irs.gov/Individuals/How-Do-You-Report-Suspected-Tax-Fraud-Activity%3F,Report Tax Fraud,en,http://www.irs.gov/Businesses/Small-Businesses-&-Self-Employed/IRS-Hotlines-and-Toll-Free-Numbers,IRS Hotlines,en,http://www.irs.gov/uac/Contact-My-Local-Office-Internationally,International IRS Offices,en,,,,http://www.irs.gov,Internal Revenue Service (IRS),en,http://www.irs.gov/localcontacts/index.html,Find a Taxpayer Assistance Center Near You,en,http://www.irs.gov/Advocate,Taxpayer Advocate Service,en,,,,The Internal Revenue Service (IRS) administers and enforces U.S. federal tax laws.,49034,null/api/USAGovAPI/contacts.json/contact/49034,U.S. Department of the Treasury,,,,,,,,,,50113,null/api/USAGovAPI/contacts.json/contact/50113,Servicio de Impuestos Internos &ndash, IRS,es,1-800-829-1040
48069,null/api/USAGovAPI/contacts.json/contact/48069,en,Job Corps,http://www.usa.gov/directory/federal/job-corps.shtml,"200 Constitution Ave, NW",Washington,DC,20210,1-202-693-3000,No,EXEC,http://www.jobcorps.gov/contact.aspx,Contact the Job Corps Contact Job Corps,en,,,,,,,,,,,,,,,,,,,http://www.jobcorps.gov,Job Corps,en,,,,,,,,,,Job Corps. Is a no-cost education and vocational training program that helps young people (ages 16 to 24) improve the quality of their lives through vocational and academic training.,49028,null/api/USAGovAPI/contacts.json/contact/49028,Department of Labor (DOL),,,,,,,,,,,,,,1-800-733-JOBS (1-800-733-5627),national_office@jobcorps.gov
48074,null/api/USAGovAPI/contacts.json/contact/48074,en,National Cemetery Administration,http://www.usa.gov/directory/federal/national-cemetery-administration.shtml,"810 Vermont Avenue, NW",Washington,DC,20420,,No,EXEC,http://www.va.gov/landing2_contact.htm,Contact the National Cemetery Administration,en,,,,,,,,,,,,,,,,,,,http://www.cem.va.gov/,National Cemetery Administration,en,http://www2.va.gov/directory/guide/division_flsh.asp?dnum=4,Find a National Cemetery,en,http://gravelocator.cem.va.gov/,Veterans' Gravesite Locator,en,,,,"Contact the National Cemetery Administration for information about burials, headstones or markers, the State Cemetery Grants Program, and presidential memorial certificates for veterans.",48027,null/api/USAGovAPI/contacts.json/contact/48027,Department of Veterans Affairs (VA),,,,,,,,,,,,,,1-800-827-1000</br>1-800-697-6947 (Status of Headstones and Markers),
48075,null/api/USAGovAPI/contacts.json/contact/48075,en,National Contact Center,http://www.usa.gov/directory/federal/national-contact-center.shtml,,,AK,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dol.gov/,National Contact Center,en,,,,,,,,,,,49028,null/api/USAGovAPI/contacts.json/contact/49028,Department of Labor (DOL),,,,,,,,,,,,,,1-866-487-2365,
